support_family,layout,jitter_fraction,dtype,candidate,operator_variant,operator,norm,mean_log_error_log_dx_slope,median_log_error_log_dx_slope,mean_endpoint_ratio_64_over_16,median_endpoint_ratio_64_over_16
constant_neighbor,jitter_10,0.1,float64,shepard_normalized,nodewise_S0_normalized_weights,kernel_S0,L2,-0.009265660532113041,-0.01636691055121585,1.0104746561419882,1.0192007165421504
constant_neighbor,jitter_10,0.1,float64,shepard_normalized,nodewise_S0_normalized_weights,kernel_S0,Linf,-0.21970656149325352,-0.2562590326424678,1.391304347826087,1.4615384615384615
constant_neighbor,jitter_10,0.1,float64,shepard_normalized,nodewise_S0_normalized_weights,kernel_S0,mean_abs,-0.013576584089744092,-0.01822100065629529,1.0159641525981145,1.022054756637168
constant_neighbor,jitter_10,0.1,float64,shepard_normalized,nodewise_S0_normalized_weights,kernel_S1,L2,0.9943234260462405,0.9829054423822252,0.25151078326298326,0.255705395157
constant_neighbor,jitter_10,0.1,float64,shepard_normalized,nodewise_S0_normalized_weights,kernel_S1,Linf,0.859315409691976,0.8427839674942781,0.2982187581604845,0.3046939345487168
constant_neighbor,jitter_10,0.1,float64,shepard_normalized,nodewise_S0_normalized_weights,scalar_interpolation,L1,1.903745695340545,1.9037050728146725,0.07199277520454926,0.07204785122666979
constant_neighbor,jitter_10,0.1,float64,shepard_normalized,nodewise_S0_normalized_weights,scalar_interpolation,L2,1.9080122135532578,1.9072586173328399,0.07140247369817183,0.071463349660256
constant_neighbor,jitter_10,0.1,float64,shepard_normalized,nodewise_S0_normalized_weights,scalar_interpolation,Linf,1.8404878497593955,1.8376487766698448,0.07945414719001495,0.07971368061443644
constant_neighbor,jitter_10,0.1,float64,shepard_normalized,nodewise_S0_scaled_brookshaw_laplacian,Laplacian,L1,-0.26824238864189276,-0.25726762139956266,1.3435709827195186,1.3355632894899503
constant_neighbor,jitter_10,0.1,float64,shepard_normalized,nodewise_S0_scaled_brookshaw_laplacian,Laplacian,L2,-0.34476893335441583,-0.32759369066925625,1.4866831015188748,1.4569462946261607
constant_neighbor,jitter_10,0.1,float64,shepard_normalized,nodewise_S0_scaled_brookshaw_laplacian,Laplacian,Linf,-0.7932837980150255,-0.778702575388277,2.668644036554015,2.6360340272653557
constant_neighbor,jitter_10,0.1,float64,shepard_normalized,nodewise_S0_scaled_difference_gradient,divergence,L1,1.48315461347695,1.4836885403642475,0.13244136158571113,0.13227454690692128
constant_neighbor,jitter_10,0.1,float64,shepard_normalized,nodewise_S0_scaled_difference_gradient,divergence,L2,1.436290570784295,1.43671729065757,0.140161149634861,0.13988317153968163
constant_neighbor,jitter_10,0.1,float64,shepard_normalized,nodewise_S0_scaled_difference_gradient,divergence,Linf,0.8791895743073967,0.8823841103556859,0.297129589646138,0.29667228608698687
constant_neighbor,jitter_10,0.1,float64,shepard_normalized,nodewise_S0_scaled_difference_gradient,gradient,L1,1.4723118425790709,1.4719360166691504,0.13425615936074173,0.1343387196011298
constant_neighbor,jitter_10,0.1,float64,shepard_normalized,nodewise_S0_scaled_difference_gradient,gradient,L2,1.356878933183314,1.3584886158891814,0.15592476191831858,0.15560427499053722
constant_neighbor,jitter_10,0.1,float64,shepard_normalized,nodewise_S0_scaled_difference_gradient,gradient,Linf,0.6988241629465681,0.7233349827043707,0.37998799966547564,0.3729692044941206
constant_neighbor,jitter_10,0.1,float64,stage01b_style_generic_viscosity,frozen_one_sided_generic_laplacian,viscous_acceleration,L1,-0.20853949474939337,-0.19719786426398686,1.2395834767370866,1.2102836860594157
constant_neighbor,jitter_10,0.1,float64,stage01b_style_generic_viscosity,frozen_one_sided_generic_laplacian,viscous_acceleration,L2,-0.3535775700846454,-0.3423885267643643,1.4966175237725157,1.4646598509807038
constant_neighbor,jitter_10,0.1,float64,stage01b_style_generic_viscosity,frozen_one_sided_generic_laplacian,viscous_acceleration,Linf,-0.9447494702864371,-0.9293158731077213,3.4838109097764973,3.447872377299598
constant_neighbor,regular,0.0,float64,conservative_pair_viscosity,symmetric_nonnegative_pair_Gamma,viscous_acceleration,L1,1.8186228978683148,1.8186228978683148,0.08093864970493574,0.08093864970493574
constant_neighbor,regular,0.0,float64,conservative_pair_viscosity,symmetric_nonnegative_pair_Gamma,viscous_acceleration,L2,1.8019761561946774,1.801976156194677,0.08292363154770598,0.082923631547706
constant_neighbor,regular,0.0,float64,conservative_pair_viscosity,symmetric_nonnegative_pair_Gamma,viscous_acceleration,Linf,1.7509697286844546,1.7509697286844546,0.08932369285438121,0.08932369285438121
constant_neighbor,regular,0.0,float64,first_order_gradient_matrix,isotropic_quadratic_response_laplacian,Laplacian,L1,1.9458730759223892,1.9458730759223888,0.06774038028152429,0.06774038028152429
constant_neighbor,regular,0.0,float64,first_order_gradient_matrix,isotropic_quadratic_response_laplacian,Laplacian,L2,1.94856534076667,1.94856534076667,0.06735093913485166,0.06735093913485163
constant_neighbor,regular,0.0,float64,first_order_gradient_matrix,isotropic_quadratic_response_laplacian,Laplacian,Linf,1.8975589132563928,1.8975589132563928,0.07254909714458556,0.07254909714458556
constant_neighbor,regular,0.0,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,divergence,L1,1.9050612958502424,1.905061295850242,0.07175776295292621,0.07175776295292621
constant_neighbor,regular,0.0,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,divergence,L2,1.9227742400129426,1.9227742400129426,0.06992383700983079,0.06992383700983079
constant_neighbor,regular,0.0,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,divergence,Linf,1.8717678125028867,1.8717678125028867,0.07532057175609287,0.07532057175609287
constant_neighbor,regular,0.0,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,gradient,L1,1.9394209816866053,1.9394209816866053,0.06825003734318624,0.06825003734318623
constant_neighbor,regular,0.0,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,gradient,L2,1.9227742400129377,1.922774240012937,0.06992383700983133,0.06992383700983135
constant_neighbor,regular,0.0,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,gradient,Linf,1.871767812502877,1.871767812502877,0.07532057175609343,0.07532057175609343
constant_neighbor,regular,0.0,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S0,L2,0.01759078863692183,0.01759078863692183,0.8701935658836275,0.8701935658836275
