semantic_slot,tensor_object_id,storage_key,shape,dtype,nbytes,gc_is_tracked,is_tensor_view,base_storage,creation_step,replacement_step,retirement_step,last_alive_step,gc_generation,python_owner_object_type,owner_creation_location,owner_source_module,owner_category,owner_project_owned,owner_diagnostic_owned
endpoint_neighborhood.displacement,4454033248,cpu:5243240448:1327104,82944x2,torch.float64,1327104,True,False,none,139,144,145,145,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4454034128,cpu:5800984576:1327104,82944x2,torch.float64,1327104,True,False,none,139,140,141,162,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453259520,cpu:5797937152:1327104,82944x2,torch.float64,1327104,True,False,none,141,154,155,157,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453919840,cpu:5797937152:1327104,82944x2,torch.float64,1327104,True,False,none,141,161,162,162,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4454347184,cpu:5794529280:1327104,82944x2,torch.float64,1327104,True,False,none,145,146,147,148,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4454346224,cpu:5799313408:1327104,82944x2,torch.float64,1327104,True,False,none,146,147,148,148,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4454453552,cpu:5799313408:1327104,82944x2,torch.float64,1327104,True,False,none,146,160,161,162,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4454463712,cpu:5795872768:1327104,82944x2,torch.float64,1327104,True,False,none,146,164,165,165,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4454454752,cpu:5802328064:1327104,82944x2,torch.float64,1327104,True,False,none,148,149,150,153,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453017280,cpu:5805047808:1327104,82944x2,torch.float64,1327104,True,False,none,150,151,152,153,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4454700592,cpu:5801279488:1327104,82944x2,torch.float64,1327104,True,False,none,165,166,167,167,2,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452322992,cpu:5255331840:1327104,82944x2,torch.float64,1327104,True,False,none,167,168,169,170,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4454336064,cpu:5241143296:1327104,82944x2,torch.float64,1327104,True,False,none,168,169,170,170,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452110480,cpu:5774180352:1327104,82944x2,torch.float64,1327104,True,False,none,170,171,172,173,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4454707392,cpu:5782667264:1327104,82944x2,torch.float64,1327104,True,False,none,172,173,174,177,1,unresolved,unresolved,unresolved,unresolved,False,False
