panel,lineage,run_id,Q_def,origin,record_id,variant
(a),HET_S1_02,D2_seed20700711,0.0947811790618674,31,HET_S1_02_LOW_N8_O31,LOW
(a),HET_S1_02,D2_seed20700711,0.21732562035944428,0,HET_S1_02_MAIN_N8_O00,MAIN
(a),HET_S1_02,D2_seed20700711,0.21433613662900527,1,HET_S1_02_MAIN_N8_O01,MAIN
(a),HET_S1_02,D2_seed20700711,0.21133316424875853,2,HET_S1_02_MAIN_N8_O02,MAIN
(a),HET_S1_02,D2_seed20700711,0.20831793415533556,3,HET_S1_02_MAIN_N8_O03,MAIN
(a),HET_S1_02,D2_seed20700711,0.20529171426020038,4,HET_S1_02_MAIN_N8_O04,MAIN
(a),HET_S1_02,D2_seed20700711,0.20225582624723573,5,HET_S1_02_MAIN_N8_O05,MAIN
(a),HET_S1_02,D2_seed20700711,0.19921167304183254,6,HET_S1_02_MAIN_N8_O06,MAIN
(a),HET_S1_02,D2_seed20700711,0.19616075153599766,7,HET_S1_02_MAIN_N8_O07,MAIN
(a),HET_S1_02,D2_seed20700711,0.19310461259257392,8,HET_S1_02_MAIN_N8_O08,MAIN
(a),HET_S1_02,D2_seed20700711,0.19004485763209214,9,HET_S1_02_MAIN_N8_O09,MAIN
(a),HET_S1_02,D2_seed20700711,0.18698318505304043,10,HET_S1_02_MAIN_N8_O10,MAIN
(a),HET_S1_02,D2_seed20700711,0.18392129011188754,11,HET_S1_02_MAIN_N8_O11,MAIN
(a),HET_S1_02,D2_seed20700711,0.18086101066167148,12,HET_S1_02_MAIN_N8_O12,MAIN
(a),HET_S1_02,D2_seed20700711,0.17780437587611314,13,HET_S1_02_MAIN_N8_O13,MAIN
(a),HET_S1_02,D2_seed20700711,0.17475337789960238,14,HET_S1_02_MAIN_N8_O14,MAIN
(a),HET_S1_02,D2_seed20700711,0.17171024977877114,15,HET_S1_02_MAIN_N8_O15,MAIN
(a),HET_S1_02,D2_seed20700711,0.1686772427935652,16,HET_S1_02_MAIN_N8_O16,MAIN
(a),HET_S1_02,D2_seed20700711,0.16565677334624648,17,HET_S1_02_MAIN_N8_O17,MAIN
(a),HET_S1_02,D2_seed20700711,0.16265126899410864,18,HET_S1_02_MAIN_N8_O18,MAIN
(a),HET_S1_02,D2_seed20700711,0.15966333147132522,19,HET_S1_02_MAIN_N8_O19,MAIN
(a),HET_S1_02,D2_seed20700711,0.1566958206085504,20,HET_S1_02_MAIN_N8_O20,MAIN
(a),HET_S1_02,D2_seed20700711,0.15375173382238694,21,HET_S1_02_MAIN_N8_O21,MAIN
(a),HET_S1_02,D2_seed20700711,0.15083428506130314,22,HET_S1_02_MAIN_N8_O22,MAIN
(a),HET_S1_02,D2_seed20700711,0.1479468112788104,23,HET_S1_02_MAIN_N8_O23,MAIN
(a),HET_S1_02,D2_seed20700711,0.14509285689910942,24,HET_S1_02_MAIN_N8_O24,MAIN
(a),HET_S1_02,D2_seed20700711,0.14227617421563454,25,HET_S1_02_MAIN_N8_O25,MAIN
(a),HET_S1_02,D2_seed20700711,0.13950073140452965,26,HET_S1_02_MAIN_N8_O26,MAIN
(a),HET_S1_02,D2_seed20700711,0.13677072069937585,27,HET_S1_02_MAIN_N8_O27,MAIN
(a),HET_S1_02,D2_seed20700711,0.13409057426202967,28,HET_S1_02_MAIN_N8_O28,MAIN
(a),HET_S1_02,D2_seed20700711,0.1314649723410547,29,HET_S1_02_MAIN_N8_O29,MAIN
(a),HET_S1_02,D2_seed20700711,0.12889884233623758,30,HET_S1_02_MAIN_N8_O30,MAIN
(a),HET_S1_02,D2_seed20700711,0.12639736883792768,31,HET_S1_02_MAIN_N8_O31,MAIN
