panel,row_id,arm,epsilon,relative_error,historical_stable_window_verdict,probe_group,fail,pass,total,horizon
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K8|token_encoder_parameter,D1,0.0001,1.8712726447951198e-05,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K8|token_encoder_parameter,D1,3e-05,4.58413943495484e-05,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K8|token_encoder_parameter,D1,1e-05,2.2980320577926943e-05,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K8|token_encoder_parameter,D1,3e-06,0.00019226455957852492,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K8|coefficient_head_parameter,D1,0.0001,1.045722935577275e-05,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K8|coefficient_head_parameter,D1,3e-05,1.949396644824211e-05,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K8|coefficient_head_parameter,D1,1e-05,4.990750502810837e-05,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K8|coefficient_head_parameter,D1,3e-06,0.0006459878963713379,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K8|initial_velocity,D1,0.0001,2.0103891380161174e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K8|initial_velocity,D1,3e-05,2.010155936342547e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K8|initial_velocity,D1,1e-05,2.0099250577175103e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K8|initial_velocity,D1,3e-06,2.0095729170841948e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K8|initial_density,D1,0.0001,5.311055328575251e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K8|initial_density,D1,3e-05,5.53052583441967e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K8|initial_density,D1,1e-05,5.57404563613908e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K8|initial_density,D1,3e-06,5.56710106098681e-06,True,,,,,
(a),D1|FT_DR3_SHEAR_A_N8|20300401|K1|token_encoder_parameter,D1,0.0001,0.017150553719500927,False,,,,,
(a),D1|FT_DR3_SHEAR_A_N8|20300401|K1|token_encoder_parameter,D1,3e-05,0.009098711728535372,False,,,,,
(a),D1|FT_DR3_SHEAR_A_N8|20300401|K1|token_encoder_parameter,D1,1e-05,0.08104888531117455,False,,,,,
(a),D1|FT_DR3_SHEAR_A_N8|20300401|K1|token_encoder_parameter,D1,3e-06,0.9999999996972023,False,,,,,
(a),D1|FT_DR3_SHEAR_A_N8|20300401|K1|coefficient_head_parameter,D1,0.0001,0.018177638674415048,True,,,,,
(a),D1|FT_DR3_SHEAR_A_N8|20300401|K1|coefficient_head_parameter,D1,3e-05,0.03531138189023074,True,,,,,
(a),D1|FT_DR3_SHEAR_A_N8|20300401|K1|coefficient_head_parameter,D1,1e-05,0.06899647998558031,True,,,,,
(a),D1|FT_DR3_SHEAR_A_N8|20300401|K1|coefficient_head_parameter,D1,3e-06,0.17586950635586654,True,,,,,
(a),D1|FT_DR3_SHEAR_A_N8|20300401|K1|initial_velocity,D1,0.0001,1.9327110835290667e-06,True,,,,,
(a),D1|FT_DR3_SHEAR_A_N8|20300401|K1|initial_velocity,D1,3e-05,1.8163253760723568e-06,True,,,,,
(a),D1|FT_DR3_SHEAR_A_N8|20300401|K1|initial_velocity,D1,1e-05,1.816914608837852e-06,True,,,,,
(a),D1|FT_DR3_SHEAR_A_N8|20300401|K1|initial_velocity,D1,3e-06,1.8170716089905835e-06,True,,,,,
(a),D1|FT_DR3_SHEAR_A_N8|20300401|K1|initial_density,D1,0.0001,0.0003257345133565468,False,,,,,
(a),D1|FT_DR3_SHEAR_A_N8|20300401|K1|initial_density,D1,3e-05,0.00033960265854210506,False,,,,,
(a),D1|FT_DR3_SHEAR_A_N8|20300401|K1|initial_density,D1,1e-05,0.0002588549857100818,False,,,,,
(a),D1|FT_DR3_SHEAR_A_N8|20300401|K1|initial_density,D1,3e-06,0.00014669359336335396,False,,,,,
(a),D1|FT_DR3_SHEAR_A_N8|20300401|K2|token_encoder_parameter,D1,0.0001,0.015949280474041715,False,,,,,
(a),D1|FT_DR3_SHEAR_A_N8|20300401|K2|token_encoder_parameter,D1,3e-05,0.041221189273499145,False,,,,,
